; Column layout:
; SIZE  =IPv4= <IPv4 protocols> =IPv6= <native IPv6 protocols> =IPv6t= <tunneled IPv6 protocols>
; First column (SIZE) is packet size in bytes
; Column =IPv4= is total number of IPv4 packets for each packet size
; Subsequent columns (upto =IPv6= or =IPv6t= or end of line, whichever
; comes first) give the number of IPv4 packets for the indicated protocol
; Column =IPv6= is total number of native IPv6 packets for each packet size
; Subsequent columns (upto =IPv6t= or end of line) give the number of IPv6
; packets for the indicated protocol
; Column =IPv6t= is total number of tunneled IPv4-over-IPv6 packets
; Subsequent columns give the number of tunneled IPv6 packets for the
; the indicated protocol
;
; First timestamp: 1459947552.407658674
; Last timestamp: 1459951362.403493777
; Total number of packets: 1811152408
; Total number of IPv4 packets: 1755133537
; Total number of native IPv6 packets: 56018871
; Total number of tunneled IPv6 packets: 1523
; IPv6 native fragments: 261
;
SIZE     =IPv4=       SCTP       IPv6        ESP        UDP        GRE       ICMP        TCP    UNKNOWN     =IPv6=      ICMP6        UDP        TCP    =IPv6t=      ICMP6        UDP        TCP
        203     135533          0          0          0      45237          9         56      90231          0       1372          0         62       1310          0          0          0          0
        204     301095          0          0        120      69008          3         98     231864          2        786          2         74        710          0          0          0          0
        205     224607          0          1          0      53180         15         83     171328          0       5426          4        189       5233          0          0          0          0
        206     240107          0          1          0      45076          6        739     194285          0       3574          6         47       3521          1          0          0          1
        207     263741          0          1          0      40987          8         35     222710          0       1323          3         65       1255          1          0          0          1
        208     303790          0          0       8311      93264          3        273     201939          0       1495          1         56       1438          0          0          0          0
        209     292522          0          1          0     185053         10         51     107407          0       5921          4         54       5863          0          0          0          0
        210     598117          0          0          0     447894         13        298     149912          0       2427          0         56       2371          0          0          0          0
        211     379069          0          2          0     273718          8        726     104615          0       1556         14         54       1488          1          0          0          1
        212     202628          0          1         15      49756         10        119     152727          0       2131          3         41       2087          1          0          0          1
        213     222241          0          1          0      40966          8        131     181135          0       3160          6         49       3105          1          0          0          1
        214     165868          0          1          0      49759          7        100     116001          0       3866          0         47       3819          0          0          0          0
        215     282752          0          0          0      41635          7         66     241044          0       2428          0         54       2374          1          0          0          1
        216     333528          0          0      82379      99098          8        150     151891          2        944          1        146        797          0          0          0          0
        217     699949          0          0          0     477379          4        212     222354          0       4348          0         46       4302          0          0          0          0
        218     236477          0          0          0      78686          6         71     157714          0       4137          0         67       4070          0          0          0          0
        219     158669          0          1          0      60913          8         49      97698          0       1496          3         38       1455          0          0          0          0
        220     270655          0          1       2890      98130          2        288     169344          0       1177          3         36       1138          0          0          0          0
        221     278275          0          2          0      84039          5         70     194159          0       4138          0         25       4113          0          0          0          0
        222     367901          0          0          0     115568          9         90     252234          0       3574          2         37       3535          1          0          0          1
        223     214831          0          0          0      90978          1         40     123812          0       1369          0         53       1316          0          0          0          0
        224     335716          0          0       7561     155079          0         47     173022          7       1703          0         51       1652          0          0          0          0
        225     310782          0          0          0     176790          2        119     133871          0       5817          1         51       5765          0          0          0          0
